,SEASON_ID,GAME_ID,MATCHUP,GAME_DATE,TEAM_ID,Date,VH,Team,Final,Open,Close,ML
89,,,,,,2007-11-06,H,BKN,87,4.5,4,-190
90,,,,,,2007-11-06,V,DEN,112,2.5,3,-160
91,,,,,,2007-11-06,H,NYK,119,213,211,140
92,,,,,,2007-11-06,V,ORL,111,7,6.5,-300
93,,,,,,2007-11-06,H,MIN,103,190,186.5,250
94,,,,,,2007-11-06,V,TOR,85,191,3,-160
95,,,,,,2007-11-06,H,MIL,112,pk,190,140
96,,,,,,2007-11-06,V,SAS,81,185,2,-135
97,,,,,,2007-11-06,H,HOU,89,pk,183.5,115
98,,,,,,2007-11-06,V,LAC,97,193,193,335
99,,,,,,2007-11-06,H,CHI,91,7,8.5,-405
100,,,,,,2007-11-06,V,OKC,98,204,208,110
101,,,,,,2007-11-06,H,SAC,104,3,2,-130
102,,,,,,2007-11-06,V,CLE,108,1,209.5,115
103,,,,,,2007-11-06,H,GSW,104,209,2,-135
104,,,,,,2007-11-06,V,NOP,118,207,205.5,135
105,,,,,,2007-11-06,H,LAL,104,3.5,3,-155
106,,,,,,2007-11-07,V,ORL,105,186.5,191.5,170
107,,,,,,2007-11-07,H,TOR,96,3,4,-200
108,,,,,,2007-11-07,V,PHX,96,5.5,5,-230
109,,,,,,2007-11-07,H,ATL,105,208.5,207,190
110,,,,,,2007-11-07,V,LAC,104,200.5,207.5,240
111,,,,,,2007-11-07,H,IND,89,5,6.5,-290
112,,,,,,2007-11-07,V,CHA,63,190,189,165
113,,,,,,2007-11-07,H,PHI,94,3.5,4,-195
114,,,,,,2007-11-07,V,DEN,93,203,202.5,245
115,,,,,,2007-11-07,H,BOS,119,5.5,6.5,-295
116,,,,,,2007-11-07,V,MIA,78,185.5,180.5,800
117,,,,,,2007-11-07,H,SAS,88,10.5,11.5,-1200
118,,,,,,2007-11-07,V,CLE,101,196,194.5,400
119,,,,,,2007-11-07,H,UTA,103,8,9,-500
120,,,,,,2007-11-07,V,MEM,105,219.5,218.5,-110
121,,,,,,2007-11-07,H,OKC,98,1.5,pk,-110
122,,,,,,2007-11-07,V,NOP,90,2.5,2.5,-145
123,,,,,,2007-11-07,H,POR,93,202,201.5,125
124,,,,,,2007-11-08,V,WAS,85,194,190,235
125,,,,,,2007-11-08,H,BKN,87,6,6,-275
126,,,,,,2007-11-08,V,DET,93,184,182,100
127,,,,,,2007-11-08,H,CHI,97,1.5,1,-120
128,,,,,,2007-11-08,V,DAL,120,7.5,7.5,-325
129,,,,,,2007-11-08,H,GSW,115,213.5,216,275
130,,,,,,2007-11-09,V,TOR,105,188,2,-130
131,,,,,,2007-11-09,H,PHI,103,1,187.5,110
132,,,,,,2007-11-09,V,IND,87,194.5,195,105
133,,,,,,2007-11-09,H,CHA,96,3,1.5,-125
134,,,,,,2007-11-09,V,ATL,83,194,193,360
135,,,,,,2007-11-09,H,BOS,106,7,8.5,-430
136,,,,,,2007-11-09,V,ORL,112,1,201.5,-105
137,,,,,,2007-11-09,H,NYK,102,198.5,1,-115
138,,,,,,2007-11-09,V,PHX,106,8.5,8,-375
139,,,,,,2007-11-09,H,MIA,101,201,195.5,315
140,,,,,,2007-11-09,V,LAC,79,192,191.5,315
141,,,,,,2007-11-09,H,DET,103,7.5,8,-375
142,,,,,,2007-11-09,V,SAS,97,3.5,3.5,-165
143,,,,,,2007-11-09,H,NOP,85,188,186,145
144,,,,,,2007-11-09,V,DEN,118,3,2,-130
145,,,,,,2007-11-09,H,WAS,92,210.5,209.5,110
146,,,,,,2007-11-09,V,MIL,88,191,188.5,395
147,,,,,,2007-11-09,H,HOU,104,9.5,9,-475
148,,,,,,2007-11-09,V,MEM,98,208,208.5,120
149,,,,,,2007-11-09,H,POR,110,1,2.5,-140
150,,,,,,2007-11-09,V,UTA,103,7,6.5,-290
151,,,,,,2007-11-09,H,OKC,101,210.5,211.5,240
152,,,,,,2007-11-09,V,MIN,93,201,204,600
153,,,,,,2007-11-09,H,LAL,107,11,11,-800
154,,,,,,2007-11-09,V,CLE,93,6.5,5.5,-245
155,,,,,,2007-11-09,H,SAC,91,194.5,192.5,205
156,,,,,,2007-11-10,V,DEN,113,210.5,1.5,-125
157,,,,,,2007-11-10,H,IND,106,pk,212,105
158,,,,,,2007-11-10,V,PHX,106,205.5,1.5,-125
159,,,,,,2007-11-10,H,ORL,96,pk,209,105
160,,,,,,2007-11-10,V,BOS,112,186,3,-150
161,,,,,,2007-11-10,H,BKN,101,2,182.5,130
162,,,,,,2007-11-10,V,TOR,101,191,189.5,220
163,,,,,,2007-11-10,H,CHI,71,5.5,6.5,-260
164,,,,,,2007-11-10,V,MEM,94,219,216,475
165,,,,,,2007-11-10,H,UTA,118,11,10,-600
166,,,,,,2007-11-10,V,MIN,93,193.5,193,170
167,,,,,,2007-11-10,H,SAC,100,4.5,4.5,-200
168,,,,,,2007-11-10,V,DAL,82,8,7.5,-350
169,,,,,,2007-11-10,H,POR,91,202.5,201.5,290
170,,,,,,2007-11-11,V,WAS,101,195.5,192.5,190
171,,,,,,2007-11-11,H,ATL,90,5,5.5,-230
172,,,,,,2007-11-11,V,HOU,85,5.5,6.5,-275
173,,,,,,2007-11-11,H,CHA,82,187.5,186,235
174,,,,,,2007-11-11,V,NOP,93,2,3,-150
175,,,,,,2007-11-11,H,PHI,72,192.5,190.5,130
176,,,,,,2007-11-11,V,MIA,75,196,192,130
177,,,,,,2007-11-11,H,NYK,72,4,3,-150
178,,,,,,2007-11-11,V,MIL,88,185,186.5,550
179,,,,,,2007-11-11,H,SAS,113,10.5,10.5,-700
180,,,,,,2007-11-11,V,DET,107,6.5,6.5,-275
181,,,,,,2007-11-11,H,OKC,103,199,196,235
182,,,,,,2007-11-11,V,CLE,103,196,1,-110
183,,,,,,2007-11-11,H,LAC,95,pk,192,-110
184,,,,,,2007-11-12,V,NOP,84,189,2,-130
185,,,,,,2007-11-12,H,BKN,82,2,184.5,110
186,,,,,,2007-11-12,V,CLE,100,205.5,208,285
187,,,,,,2007-11-12,H,DEN,122,6.5,7.5,-335
188,,,,,,2007-11-12,V,SAC,93,204.5,206,1050
189,,,,,,2007-11-12,H,UTA,117,13.5,14,-1700
190,,,,,,2007-11-13,V,OKC,76,209.5,209,525
191,,,,,,2007-11-13,H,ORL,103,10.5,10.5,-650
192,,,,,,2007-11-13,V,MIA,76,181,178,105
193,,,,,,2007-11-13,H,CHA,91,2,1.5,-125
194,,,,,,2007-11-13,V,BOS,101,6,7,-300
195,,,,,,2007-11-13,H,IND,86,197.5,198,250
196,,,,,,2007-11-13,V,HOU,99,6.5,6.5,-270
197,,,,,,2007-11-13,H,MEM,105,198.5,201.5,230
198,,,,,,2007-11-13,V,PHI,84,190.5,192.5,600
199,,,,,,2007-11-13,H,DAL,99,12,11,-800
200,,,,,,2007-11-13,V,LAL,92,198.5,199,305
201,,,,,,2007-11-13,H,SAS,107,8.5,8,-365
202,,,,,,2007-11-13,V,NYK,102,207,210.5,900
203,,,,,,2007-11-13,H,PHX,113,11,13,-1400
204,,,,,,2007-11-13,V,DET,94,4.5,5,-230
205,,,,,,2007-11-13,H,POR,102,189,190,190
206,,,,,,2007-11-14,V,IND,90,201.5,200.5,200
207,,,,,,2007-11-14,H,WAS,103,6,5.5,-240
208,,,,,,2007-11-14,V,ORL,117,194.5,190.5,130
209,,,,,,2007-11-14,H,CLE,116,4.5,3,-150
210,,,,,,2007-11-14,V,UTA,92,203,204,-110
211,,,,,,2007-11-14,H,TOR,88,1,pk,-110
212,,,,,,2007-11-14,V,CHA,109,187.5,188,200
213,,,,,,2007-11-14,H,ATL,117,5,5.5,-240
214,,,,,,2007-11-14,V,OKC,104,193.5,191.5,240
215,,,,,,2007-11-14,H,MIA,95,6,7,-290
216,,,,,,2007-11-14,V,BKN,69,184.5,181,525
217,,,,,,2007-11-14,H,BOS,91,9.5,10,-650
218,,,,,,2007-11-14,V,SAC,103,194,190.5,110
219,,,,,,2007-11-14,H,MIN,108,3,2,-130
220,,,,,,2007-11-14,V,MEM,99,205,206.5,220
221,,,,,,2007-11-14,H,MIL,102,6,6.5,-260
222,,,,,,2007-11-14,V,PHI,76,187.5,187.5,370
223,,,,,,2007-11-14,H,NOP,95,8.5,8.5,-450
224,,,,,,2007-11-14,V,POR,93,211.5,212,550
225,,,,,,2007-11-14,H,DEN,110,10,11,-700
226,,,,,,2007-11-14,V,LAL,93,199,199.5,240
227,,,,,,2007-11-14,H,HOU,90,7.5,6.5,-290
228,,,,,,2007-11-14,V,NYK,81,200,200.5,275
229,,,,,,2007-11-14,H,LAC,84,7,7.5,-325
230,,,,,,2007-11-14,V,DET,111,3,1,-120
231,,,,,,2007-11-14,H,GSW,104,207,211,100
232,,,,,,2007-11-15,V,SAS,92,186.5,189.5,105
233,,,,,,2007-11-15,H,DAL,105,3,1.5,-125
234,,,,,,2007-11-15,V,CHI,102,203,204,355
235,,,,,,2007-11-15,H,PHX,112,7.5,8.5,-425
236,,,,,,2007-11-16,V,POR,88,186,184,130
237,,,,,,2007-11-16,H,PHI,92,3,3,-150
238,,,,,,2007-11-16,V,IND,101,193.5,195.5,285
239,,,,,,2007-11-16,H,TOR,110,8.5,7.5,-335
240,,,,,,2007-11-16,V,MIA,91,184,183,525
241,,,,,,2007-11-16,H,BOS,92,10.5,10,-650
242,,,,,,2007-11-16,V,ORL,95,3.5,3.5,-170
243,,,,,,2007-11-16,H,BKN,70,184,186,150
244,,,,,,2007-11-16,V,UTA,94,2,199.5,105
245,,,,,,2007-11-16,H,CLE,99,203,1.5,-125
246,,,,,,2007-11-16,V,OKC,126,206,204.5,235
247,,,,,,2007-11-16,H,ATL,123,7.5,6,-275
248,,,,,,2007-11-16,V,HOU,84,181,177.5,400
249,,,,,,2007-11-16,H,SAS,90,8.5,9,-500
250,,,,,,2007-11-16,V,NOP,120,3.5,3,-160
251,,,,,,2007-11-16,H,MEM,118,202,204.5,140
252,,,,,,2007-11-16,V,WAS,105,2.5,3.5,-170
253,,,,,,2007-11-16,H,MIN,89,194.5,191.5,150
254,,,,,,2007-11-16,V,NYK,115,199,198.5,150
255,,,,,,2007-11-16,H,SAC,119,3,3.5,-170
256,,,,,,2007-11-16,V,DET,91,201,198.5,155
257,,,,,,2007-11-16,H,LAL,103,3.5,4,-175
258,,,,,,2007-11-16,V,LAC,105,216,219.5,210
259,,,,,,2007-11-16,H,GSW,122,3.5,5.5,-250
260,,,,,,2007-11-17,V,POR,90,195,190,175
261,,,,,,2007-11-17,H,WAS,109,5.5,4.5,-205
262,,,,,,2007-11-17,V,OKC,84,196.5,199.5,300
263,,,,,,2007-11-17,H,CHA,100,7.5,8,-360
264,,,,,,2007-11-17,V,UTA,97,6,5,-230
265,,,,,,2007-11-17,H,IND,117,203,204.5,190
266,,,,,,2007-11-17,V,MIA,91,180,3,-155
267,,,,,,2007-11-17,H,BKN,87,2,174,135
268,,,,,,2007-11-17,V,NOP,100,5.5,4,-190
269,,,,,,2007-11-17,H,MIN,82,190,188,160
270,,,,,,2007-11-17,V,ATL,96,198.5,196.5,285
271,,,,,,2007-11-17,H,MIL,105,8,7.5,-335
272,,,,,,2007-11-17,V,MEM,105,210,213,950
273,,,,,,2007-11-17,H,DAL,108,12.5,14,-1500
274,,,,,,2007-11-17,V,PHX,115,4.5,5.5,-250
275,,,,,,2007-11-17,H,HOU,105,198,196,210
276,,,,,,2007-11-17,V,NYK,83,216,213.5,850
277,,,,,,2007-11-17,H,DEN,115,12.5,14,-1300
278,,,,,,2007-11-17,V,CHI,92,1.5,3,-160
279,,,,,,2007-11-17,H,LAC,73,191,187,140
280,,,,,,2007-11-18,V,GSW,106,217.5,219.5,220
281,,,,,,2007-11-18,H,TOR,100,5,6.5,-260
282,,,,,,2007-11-18,V,BOS,102,189,1,-120
283,,,,,,2007-11-18,H,ORL,104,pk,187.5,100
284,,,,,,2007-11-18,V,DET,95,5,4.5,-205
285,,,,,,2007-11-18,H,SAC,105,193,195.5,175
286,,,,,,2007-11-18,V,CHI,78,195.5,198,190
287,,,,,,2007-11-18,H,LAL,106,4.5,5.5,-230
288,,,,,,2007-11-19,V,POR,92,187,190.5,190
289,,,,,,2007-11-19,H,CHA,101,5,5.5,-230
290,,,,,,2007-11-19,V,OKC,108,218,218.5,195
291,,,,,,2007-11-19,H,MEM,125,6,5.5,-235
292,,,,,,2007-11-19,V,ORL,95,188,186,100
293,,,,,,2007-11-19,H,NOP,88,pk,1,-120
294,,,,,,2007-11-19,V,BKN,75,190.5,191,550
295,,,,,,2007-11-19,H,UTA,102,11,11,-700
296,,,,,,2007-11-20,V,PHI,101,191,183.5,190
297,,,,,,2007-11-20,H,WAS,116,6,5,-230
298,,,,,,2007-11-20,V,MIL,111,194.5,193.5,240
299,,,,,,2007-11-20,H,CLE,107,6.5,6.5,-290
300,,,,,,2007-11-20,V,LAL,134,2,1.5,-125
301,,,,,,2007-11-20,H,IND,114,207,207.5,105
302,,,,,,2007-11-20,V,SAS,95,5.5,6,-250
303,,,,,,2007-11-20,H,ATL,83,190.5,190,210
304,,,,,,2007-11-20,V,GSW,108,219,1,-120
305,,,,,,2007-11-20,H,NYK,82,pk,220,100
306,,,,,,2007-11-20,V,TOR,99,196.5,197,355
307,,,,,,2007-11-20,H,DAL,105,9.5,8.5,-425
308,,,,,,2007-11-20,V,CHI,91,203.5,201.5,370
309,,,,,,2007-11-20,H,DEN,112,6,8.5,-450
310,,,,,,2007-11-20,V,PHX,100,6.5,7.5,-330
311,,,,,,2007-11-20,H,SAC,98,212,218,280
312,,,,,,2007-11-21,V,WAS,114,192,192.5,250
313,,,,,,2007-11-21,H,CHA,111,4.5,7,-300
314,,,,,,2007-11-21,V,GSW,82,214,214,620
315,,,,,,2007-11-21,H,BOS,105,9,11,-820
316,,,,,,2007-11-21,V,DAL,100,193.5,190,120
317,,,,,,2007-11-21,H,HOU,94,1.5,2.5,-140
318,,,,,,2007-11-21,V,ATL,82,190,187.5,360
319,,,,,,2007-11-21,H,MIA,79,7.5,8,-430
320,,,,,,2007-11-21,V,IND,105,196,199,275
321,,,,,,2007-11-21,H,NOP,93,7,7.5,-325
322,,,,,,2007-11-21,V,TOR,95,212,211.5,155
323,,,,,,2007-11-21,H,MEM,89,1,4,-175
324,,,,,,2007-11-21,V,CLE,97,4.5,5,-230
325,,,,,,2007-11-21,H,MIN,86,193,191.5,190
326,,,,,,2007-11-21,V,LAL,103,203,2,-135
327,,,,,,2007-11-21,H,MIL,110,pk,208,115
328,,,,,,2007-11-21,V,NYK,86,191.5,192.5,600
329,,,,,,2007-11-21,H,DET,98,11,10.5,-800
330,,,,,,2007-11-21,V,ORL,110,190.5,187.5,225
331,,,,,,2007-11-21,H,SAS,128,6,6,-265
332,,,,,,2007-11-21,V,SAC,111,218.5,216,1000
333,,,,,,2007-11-21,H,PHX,127,13,14,-1600
334,,,,,,2007-11-21,V,BKN,106,181,183.5,135
335,,,,,,2007-11-21,H,POR,101,5,3,-155
336,,,,,,2007-11-21,V,DEN,90,3.5,6.5,-310
337,,,,,,2007-11-21,H,LAC,101,206,204.5,260
338,,,,,,2007-11-23,V,GSW,123,pk,2.5,-135
339,,,,,,2007-11-23,H,WAS,115,216.5,214,115
340,,,,,,2007-11-23,V,CHA,92,195.5,197.5,400
341,,,,,,2007-11-23,H,ORL,105,9.5,9.5,-500
342,,,,,,2007-11-23,V,LAL,94,202,205,300
343,,,,,,2007-11-23,H,BOS,107,7.5,8,-360
344,,,,,,2007-11-23,V,PHI,78,186.5,184,450
345,,,,,,2007-11-23,H,DET,83,10,9.5,-600
346,,,,,,2007-11-23,V,DAL,107,7.5,6.5,-340
347,,,,,,2007-11-23,H,IND,111,206,207.5,280
348,,,,,,2007-11-23,V,HOU,91,2,3.5,-165
349,,,,,,2007-11-23,H,MIA,98,179.5,179.5,145
350,,,,,,2007-11-23,V,MEM,88,203.5,207.5,650
351,,,,,,2007-11-23,H,SAS,101,12,12.5,-900
352,,,,,,2007-11-23,V,MIN,93,203.5,209,1500
353,,,,,,2007-11-23,H,DEN,99,13.5,14,-1900
354,,,,,,2007-11-23,V,LAC,94,210.5,211.5,1250
355,,,,,,2007-11-23,H,PHX,113,13,14.5,-1650
356,,,,,,2007-11-23,V,NOP,71,198,196.5,250
357,,,,,,2007-11-23,H,UTA,99,6,6,-300
358,,,,,,2007-11-23,V,SAC,84,199.5,204,170
359,,,,,,2007-11-23,H,POR,87,5,4.5,-200
360,,,,,,2007-11-23,V,BKN,98,3,3,-160
361,,,,,,2007-11-23,H,OKC,93,195.5,195.5,140
362,,,,,,2007-11-24,V,TOR,108,197,190.5,170
363,,,,,,2007-11-24,H,CLE,111,5.5,4.5,-200
364,,,,,,2007-11-24,V,CHI,78,3,2.5,-140
365,,,,,,2007-11-24,H,NYK,85,190,185,120
366,,,,,,2007-11-24,V,BOS,96,6,7.5,-330
367,,,,,,2007-11-24,H,CHA,95,186,186,280
368,,,,,,2007-11-24,V,MIA,99,181,188,235
369,,,,,,2007-11-24,H,ORL,120,7.5,7,-275
370,,,,,,2007-11-24,V,GSW,100,2,3.5,-165
371,,,,,,2007-11-24,H,PHI,98,205,206.5,145
372,,,,,,2007-11-24,V,ATL,94,3.5,4.5,-195
373,,,,,,2007-11-24,H,MIN,87,192,190,165
374,,,,,,2007-11-24,V,WAS,118,216,213,190
375,,,,,,2007-11-24,H,MEM,124,6,5.5,-230
376,,,,,,2007-11-24,V,DEN,81,200.5,200.5,210
377,,,,,,2007-11-24,H,HOU,109,5,6,-250
378,,,,,,2007-11-24,V,DAL,95,3.5,4,-175
379,,,,,,2007-11-24,H,MIL,97,203,201,155
380,,,,,,2007-11-24,V,NOP,98,2,3,-150
381,,,,,,2007-11-24,H,LAC,89,188,185,130
382,,,,,,2007-11-25,V,CHI,78,184,185,175
383,,,,,,2007-11-25,H,TOR,93,4,4.5,-205
384,,,,,,2007-11-25,V,UTA,103,190,1,-120
385,,,,,,2007-11-25,H,DET,93,2,190,100
386,,,,,,2007-11-25,V,CLE,111,201.5,205,110
387,,,,,,2007-11-25,H,IND,106,2,2,-130
388,,,,,,2007-11-25,V,SAS,116,9,10,-600
389,,,,,,2007-11-25,H,OKC,101,198.5,199,475
390,,,,,,2007-11-25,V,BKN,102,196,199.5,240
391,,,,,,2007-11-25,H,LAL,100,6.5,6.5,-290
392,,,,,,2007-11-26,V,UTA,109,6,5.5,-240
393,,,,,,2007-11-26,H,NYK,113,198,194,200
394,,,,,,2007-11-26,V,MIN,103,183.5,188,600
395,,,,,,2007-11-26,H,NOP,94,11,10.5,-800
396,,,,,,2007-11-26,V,WAS,110,209.5,208,750
397,,,,,,2007-11-26,H,DAL,98,12,12,-1100
398,,,,,,2007-11-26,V,SAS,99,6.5,6,-260
399,,,,,,2007-11-26,H,SAC,112,193,194.5,220
400,,,,,,2007-11-26,V,ORL,85,4,5,-215
401,,,,,,2007-11-26,H,POR,74,197,203,185
402,,,,,,2007-11-26,V,HOU,88,5.5,6.5,-275
403,,,,,,2007-11-26,H,LAC,71,185.5,189.5,235
404,,,,,,2007-11-26,V,PHX,114,4.5,5,-200
405,,,,,,2007-11-26,H,GSW,129,228,229.5,170
406,,,,,,2007-11-27,V,BOS,104,3.5,3.5,-165
407,,,,,,2007-11-27,H,CLE,109,193.5,190,145
408,,,,,,2007-11-27,V,MEM,110,204.5,206,200
409,,,,,,2007-11-27,H,BKN,103,5,5.5,-240
410,,,,,,2007-11-27,V,CHA,90,188,187,305
411,,,,,,2007-11-27,H,MIA,110,7,7,-365
412,,,,,,2007-11-27,V,PHI,114,185.5,187,225
413,,,,,,2007-11-27,H,MIL,99,8,6,-265
414,,,,,,2007-11-27,V,ATL,78,181.5,183,190
415,,,,,,2007-11-27,H,CHI,90,4,5,-230
416,,,,,,2007-11-27,V,IND,112,216.5,216.5,295
417,,,,,,2007-11-27,H,DEN,110,9,7,-355
418,,,,,,2007-11-27,V,OKC,99,216,218,650
419,,,,,,2007-11-27,H,LAL,106,11.5,12.5,-900
420,,,,,,2007-11-28,V,MEM,91,207.5,207,250
421,,,,,,2007-11-28,H,TOR,103,8,6.5,-300
422,,,,,,2007-11-28,V,UTA,106,7.5,6.5,-260
423,,,,,,2007-11-28,H,PHI,95,188.5,195.5,220
424,,,,,,2007-11-28,V,MIL,80,195,197.5,150
425,,,,,,2007-11-28,H,ATL,96,2.5,3.5,-170
426,,,,,,2007-11-28,V,CLE,74,191,189,330
427,,,,,,2007-11-28,H,DET,109,8.5,8.5,-400
428,,,,,,2007-11-28,V,MIN,103,197,197.5,1050
429,,,,,,2007-11-28,H,DAL,109,14,14,-1700
430,,,,,,2007-11-28,V,WAS,94,203.5,200,750
431,,,,,,2007-11-28,H,SAS,109,12,12.5,-1100
432,,,,,,2007-11-28,V,HOU,100,204.5,206,160
433,,,,,,2007-11-28,H,PHX,94,6,4,-190
434,,,,,,2007-11-28,V,IND,95,203.5,204,160
435,,,,,,2007-11-28,H,POR,89,4,4,-190
436,,,,,,2007-11-28,V,ORL,110,8.5,8,-375
437,,,,,,2007-11-28,H,OKC,94,211,209,315
438,,,,,,2007-11-28,V,GSW,103,220,1.5,-125
439,,,,,,2007-11-28,H,SAC,96,1,221.5,105
440,,,,,,2007-11-29,V,NYK,59,187.5,189,700
441,,,,,,2007-11-29,H,BOS,104,13,12.5,-1000
442,,,,,,2007-11-29,V,DEN,99,217,220,190
443,,,,,,2007-11-29,H,LAL,127,5,5,-230
444,,,,,,2007-11-29,V,HOU,94,208,2,-130
445,,,,,,2007-11-29,H,GSW,113,pk,208.5,110
446,,,,,,2007-11-30,V,WAS,84,196.5,195,125
447,,,,,,2007-11-30,H,PHI,85,1,2.5,-145
448,,,,,,2007-11-30,V,CLE,82,195,189,235
449,,,,,,2007-11-30,H,TOR,91,3.5,6.5,-275
450,,,,,,2007-11-30,V,NOP,92,1,1,-120
451,,,,,,2007-11-30,H,ATL,86,187,187,100
452,,,,,,2007-11-30,V,MIL,88,193,1,-120
453,,,,,,2007-11-30,H,NYK,91,pk,194.5,100
454,,,,,,2007-11-30,V,SAS,106,9.5,10,-600
455,,,,,,2007-11-30,H,MIN,91,193,192,475
456,,,,,,2007-11-30,V,BOS,95,2.5,2.5,-145
